stage,team,player_key,league,salary,season,season_end,season_start,team.1,name,position,points_per_game,rebounds_per_game,assists_per_game,blocks_per_game,steals_per_game,turnovers_per_game,player_utility,player_value
Playoffs,LAL,Brian Shaw (1999 - 2000),NBA,510000,1999 - 2000,2000,1999,Los Angeles Lakers,Brian Shaw,PG,5.409090909090909,2.3181818181818183,3.0454545454545454,0.18181818181818185,0.5,0.7727272727272727,13.35,26.176470588235293
Playoffs,UTA,Jeff Hornacek (1999 - 2000),NBA,5200000,1999 - 2000,2000,1999,Utah Jazz,Jeff Hornacek,SG,11.5,3.0,3.3,0.0,1.0,1.5,20.55,3.951923076923077
Playoffs,UTA,John Stockton (1999 - 2000),NBA,11000000,1999 - 2000,2000,1999,Utah Jazz,John Stockton,PG,11.2,3.0,10.3,0.2,1.3,2.6,30.65,2.786363636363636
Playoffs,IND,Sam Perkins (1999 - 2000),NBA,1925000,1999 - 2000,2000,1999,Indiana Pacers,Sam Perkins,PF,4.782608695652174,3.1739130434782608,0.43478260869565216,0.2608695652173913,0.17391304347826084,0.3478260869565217,9.765217391304347,5.0728402032749855
Playoffs,MIL,Ray Allen (1999 - 2000),NBA,9000000,1999 - 2000,2000,1999,Milwaukee Bucks,Ray Allen,SG,22.0,6.6,2.6,0.0,1.6,1.8,35.22000000000001,3.913333333333335
Playoffs,POR,Bonzi Wells (1999 - 2000),NBA,1428720,1999 - 2000,2000,1999,Portland Trail Blazers,Bonzi Wells,SG,7.5,2.5,0.9285714285714286,0.0,0.5,1.1428571428571428,11.75,8.224144688952348
Playoffs,LAL,Rick Fox (1999 - 2000),NBA,3033000,1999 - 2000,2000,1999,Los Angeles Lakers,Rick Fox,SF,4.3478260869565215,1.6521739130434785,1.2173913043478262,0.0,0.39130434782608703,0.6956521739130435,8.243478260869566,2.7179288693931967
Playoffs,LAL,Derek Fisher (1999 - 2000),NBA,3000000,1999 - 2000,2000,1999,Los Angeles Lakers,Derek Fisher,SG,4.714285714285714,1.0476190476190477,1.9523809523809523,0.047619047619047616,0.5238095238095238,0.42857142857142855,9.614285714285714,3.2047619047619045
Playoffs,SAS,David Robinson (1999 - 2000),NBA,11592683,1999 - 2000,2000,1999,San Antonio Spurs,David Robinson,None,23.5,13.75,2.5,3.0,1.75,2.0,51.25,4.4208920402636736
Playoffs,PHI,Toni Kukoc (1999 - 2000),NBA,4500000,1999 - 2000,2000,1999,Philadelphia 76ers,Toni Kukoc,PF,9.3,3.7,1.7,0.3,1.0,1.5,17.390000000000004,3.8644444444444455
Playoffs,MIA,Dan Majerle (1999 - 2000),NBA,3600000,1999 - 2000,2000,1999,Miami Heat,Dan Majerle,SG,9.0,7.0,3.2,0.1,2.1,1.1,25.5,7.083333333333333
Playoffs,LAL,A.C. Green (1999 - 2000),NBA,1700000,1999 - 2000,2000,1999,Los Angeles Lakers,A.C. Green,PF,3.9130434782608696,4.173913043478262,0.5652173913043478,0.13043478260869565,0.6086956521739131,0.39130434782608703,10.856521739130432,6.386189258312019
Playoffs,POR,Brian Grant (1999 - 2000),NBA,7680862,1999 - 2000,2000,1999,Portland Trail Blazers,Brian Grant,C,5.4375,5.75,0.5,0.375,0.375,1.0625,13.525,1.7608700690104835
Playoffs,NYK,Chris Childs (1999 - 2000),NBA,4160000,1999 - 2000,2000,1999,New York Knicks,Chris Childs,PG,5.4375,2.3125,2.25,0.0,0.4375,0.875,11.5875,2.785456730769231
Playoffs,POR,Detlef Schrempf (1999 - 2000),NBA,2000000,1999 - 2000,2000,1999,Portland Trail Blazers,Detlef Schrempf,SF,5.6,3.533333333333333,2.0,0.0,0.26666666666666666,1.0,12.373333333333333,6.1866666666666665
Playoffs,PHX,Shawn Marion (1999 - 2000),NBA,1546320,1999 - 2000,2000,1999,Phoenix Suns,Shawn Marion,SF,9.111111111111109,8.777777777777779,0.7777777777777778,1.5555555555555556,0.6666666666666666,0.7777777777777778,24.47777777777777,15.829697460925146
Playoffs,CHA,Derrick Coleman (1999 - 2000),NBA,7370000,1999 - 2000,2000,1999,Charlotte Hornets,Derrick Coleman,C,20.25,12.5,3.5,3.0,0.75,3.25,44.75,6.0719131614654005
Playoffs,MIL,Sam Cassell (1999 - 2000),NBA,3500000,1999 - 2000,2000,1999,Milwaukee Bucks,Sam Cassell,PG,15.8,3.4,9.0,0.0,0.8,1.8,33.18000000000001,9.480000000000002
Playoffs,MIN,Terrell Brandon (1999 - 2000),NBA,7400000,1999 - 2000,2000,1999,Minnesota Timberwolves,Terrell Brandon,PG,19.5,5.75,8.5,0.0,0.75,2.0,38.65,5.222972972972973
Playoffs,NYK,Marcus Camby (1999 - 2000),NBA,5250000,1999 - 2000,2000,1999,New York Knicks,Marcus Camby,PF,4.8125,6.9375,0.375,1.4375,0.5,0.75,16.825,3.2047619047619045
Playoffs,MIA,Anthony Carter (1999 - 2000),NBA,385000,1999 - 2000,2000,1999,Miami Heat,Anthony Carter,PG,7.7,4.0,5.6,0.2,1.2,2.3,21.399999999999995,55.584415584415574
Playoffs,MIL,Tim Thomas (1999 - 2000),NBA,2098560,1999 - 2000,2000,1999,Milwaukee Bucks,Tim Thomas,SF,15.4,4.8,2.0,0.8,0.2,0.2,25.96,12.370387313205246
Playoffs,SEA,Rashard Lewis (1999 - 2000),NBA,385000,1999 - 2000,2000,1999,Seattle SuperSonics,Rashard Lewis,SF,15.4,6.2,0.6,0.6,1.0,2.0,24.94,64.77922077922078
Playoffs,MIL,Glenn Robinson (1999 - 2000),NBA,7250000,1999 - 2000,2000,1999,Milwaukee Bucks,Glenn Robinson,SF,15.4,4.2,2.6,0.8,1.6,3.0,26.140000000000004,3.605517241379311
Playoffs,MIN,Kevin Garnett (1999 - 2000),NBA,16806300,1999 - 2000,2000,1999,Minnesota Timberwolves,Kevin Garnett,PF,18.75,10.75,8.75,0.75,1.25,2.75,46.025,2.7385563746928234
Playoffs,MIA,P.J. Brown (1999 - 2000),NBA,5124800,1999 - 2000,2000,1999,Miami Heat,P.J. Brown,PF,7.5,8.2,1.1,0.4,0.8,1.1,20.29,3.959178894786138
Playoffs,DET,Jerry Stackhouse (1999 - 2000),NBA,4781250,1999 - 2000,2000,1999,Detroit Pistons,Jerry Stackhouse,SF,24.66666666666667,4.0,3.333333333333333,0.0,0.6666666666666666,4.666666666666667,31.133333333333336,6.511546840958606
Playoffs,PHI,Matt Geiger (1999 - 2000),NBA,6889520,1999 - 2000,2000,1999,Philadelphia 76ers,Matt Geiger,C,8.75,5.0,0.25,0.25,0.625,0.625,16.25,2.3586548845202566
